height,age,low_ci,up_ci
1300.0,1085.454916427516,1083.9923534769505,1086.9302263248965
1310.0,1085.3227110806401,1083.081445454728,1086.8029032655609
1320.0,1085.182971035251,1081.6793558091997,1086.770732088208
1330.0,1085.0467499637743,1080.733290194088,1086.756855112913
1340.0,1084.9124723675513,1080.0395817365668,1086.7456831586692
1350.0,1084.778304725931,1079.4847677942626,1086.7329973620372
1360.0,1084.6524016172748,1079.0403118575064,1086.7199612268296
1370.0,1084.5265861408252,1078.637268091782,1086.707201744511
1380.0,1084.4023472114939,1078.2593091809065,1086.6948509233066
1390.0,1084.2769966440098,1077.908051642391,1086.6852514320549
1400.0,1084.156111438658,1077.6082186336141,1086.67123627259
1410.0,1084.0333873346988,1077.2996712092663,1086.6584661954846
1420.0,1083.9129066995406,1077.0280109678456,1086.644360339722
1430.0,1083.7931337532614,1076.7535116330419,1086.6326603060536
1440.0,1083.673623105272,1076.4865627109027,1086.6208128339565
1450.0,1083.5586200640473,1076.2464131157822,1086.6066796495343
1460.0,1083.4484162608294,1076.0371926798027,1086.5951338447994
1470.0,1083.3359378568389,1075.7974324065442,1086.5827469722167
1480.0,1083.221121764248,1075.5653061705093,1086.5683802224619
1490.0,1083.108151766638,1075.3348273590939,1086.556021598336
1500.0,1082.9962545098745,1075.099635757825,1086.5422908138091
1510.0,1082.8851731993402,1074.9115447492104,1086.5296773536713
1520.0,1082.7754228901713,1074.6942536885103,1086.5161626322702
1530.0,1082.6638829666094,1074.5194596504766,1086.5023206168314
1540.0,1082.5580200695222,1074.336093682669,1086.4855033844403
1550.0,1082.4464651488477,1074.1390619880103,1086.4700798147505
1560.0,1082.3372881529615,1073.9514840952204,1086.4586682059698
1570.0,1082.227888405708,1073.7750903439057,1086.4430184549174
1580.0,1082.121398872379,1073.6122457165202,1086.4310048240668
1590.0,1082.0131895168195,1073.4377679169513,1086.4166109397627
1600.0,1081.906841566253,1073.2648338211625,1086.4049207385647
1610.0,1081.8027281675127,1073.0906564232685,1086.39219914237
1620.0,1081.6971055080473,1072.9189314466778,1086.3773978221634
1630.0,1081.5919389411633,1072.748017207617,1086.3620148971515
1640.0,1081.484359613191,1072.5806686808728,1086.3477233642602
1650.0,1081.3781909689928,1072.4184692723763,1086.33454591251
1660.0,1081.2711792614323,1072.2591411702087,1086.316007234291
1670.0,1081.1681627207088,1072.0938281924568,1086.301889775459
1680.0,1081.0648128616283,1071.943232152653,1086.2838996477797
1690.0,1080.9628331006982,1071.7865009214117,1086.2689388636643
1700.0,1080.8561321764253,1071.6256848358735,1086.2492508053363
1710.0,1080.7526263764476,1071.465925498657,1086.2352668603592
1720.0,1080.6498218363174,1071.3156373700367,1086.2219780938756
1730.0,1080.5475886251497,1071.1585159022948,1086.2066175216921
1740.0,1080.4437228297777,1070.998161860646,1086.187166872553
1750.0,1080.3392275461656,1070.84541032397,1086.1717688591211
1760.0,1080.2370255890107,1070.7037361442246,1086.1498064977548
1770.0,1080.132775574582,1070.5723220090867,1086.128846062337
1780.0,1080.0319920818356,1070.4370387663184,1086.1092984604181
1790.0,1079.927125731639,1070.2749025656872,1086.0901445564155
1800.0,1079.8257036971108,1070.1344400462606,1086.0725896778954
1810.0,1079.7222167370214,1069.9849975874592,1086.054143713776
1820.0,1079.6201226895614,1069.8348617943764,1086.0338820786224
1830.0,1079.5175720851778,1069.6900024979338,1086.013933304817
1840.0,1079.4165419380356,1069.5457898473317,1085.9949471594819
1850.0,1079.3163231583992,1069.4027554896945,1085.9738306144632
1860.0,1079.214040760664,1069.2661438113985,1085.9555953860736
1870.0,1079.1147735553168,1069.1273870279788,1085.9363682500882
1880.0,1079.0111858265996,1068.9662211882264,1085.9144820303134
1890.0,1078.909869923083,1068.8369910133542,1085.8939433303012
1900.0,1078.8104230283204,1068.693622878708,1085.8696995535943
1910.0,1078.7069459467523,1068.5292173918087,1085.845888475789
1920.0,1078.6022705192688,1068.3659297508382,1085.8257157176663
1930.0,1078.50093853771,1068.2033536968338,1085.8061353426929
1940.0,1078.399432352733,1068.0628763950403,1085.7796580948002
1950.0,1078.2986889595652,1067.9160070727448,1085.751635882563
1960.0,1078.1951167232648,1067.7607788080547,1085.7270045881046
1970.0,1078.0938950935006,1067.5880839882875,1085.7045010054985
1980.0,1077.9918674770913,1067.4363737877884,1085.6826346357059
1990.0,1077.888819369715,1067.2866426426963,1085.663496638141
2000.0,1077.785347021144,1067.1204504917655,1085.6359786826476
2010.0,1077.6813350399332,1066.9464666222077,1085.6061182303522
2020.0,1077.5781051881538,1066.7752059425782,1085.5743651965076
2030.0,1077.4743259905438,1066.624689124123,1085.5527482115722
2040.0,1077.3678867401416,1066.4522008825586,1085.5228096590356
2050.0,1077.2627292771958,1066.3037054988097,1085.4933302926659
2060.0,1077.1585393314597,1066.1392759263051,1085.4666358753539
2070.0,1077.0569942667487,1065.9807135041042,1085.4353117991886
2080.0,1076.9539604777115,1065.8414273848666,1085.4048252659022
2090.0,1076.8482469542914,1065.6843913194261,1085.3792037130393
2100.0,1076.7460530801536,1065.5434200176783,1085.3484406257426
2110.0,1076.6442619076859,1065.4023823964328,1085.3199774596153
2120.0,1076.5382263359656,1065.2383032099292,1085.2921860918366
2130.0,1076.435111373909,1065.0756472517585,1085.2604660614716
2140.0,1076.331354868695,1064.9144540494603,1085.2325446876232
2150.0,1076.2273721531105,1064.766902680695,1085.2085605534035
2160.0,1076.1215187796156,1064.620445051221,1085.1740139957858
2170.0,1076.017450212536,1064.4870375895177,1085.136842587581
2180.0,1075.912166324416,1064.3473730420599,1085.0976108461878
2190.0,1075.8106272417358,1064.2112918811786,1085.05679873617
2200.0,1075.7069901248274,1064.0447475669187,1085.0232848117098
2210.0,1075.6038988428481,1063.9007816624667,1084.987239283295
2220.0,1075.5004623163045,1063.7497820445742,1084.9449122579153
2230.0,1075.4000207794993,1063.6168004534313,1084.9084759400937
2240.0,1075.2979140736877,1063.4670740300794,1084.8660470123943
2250.0,1075.195313313666,1063.3241615666475,1084.8230948848868
2260.0,1075.0934119762342,1063.2058606194003,1084.7707584057882
2270.0,1074.9904061971968,1063.05034435803,1084.7338136224237
2280.0,1074.886574798315,1062.9038785359512,1084.6846979546876
2290.0,1074.784044906298,1062.7504099025934,1084.6422807498407
2300.0,1074.682394028214,1062.613443974387,1084.6037894413766
2310.0,1074.5785267137042,1062.4735656176401,1084.558424368445
2320.0,1074.4767352540605,1062.3316000989357,1084.508718379149
2330.0,1074.3752365594844,1062.166816401818,1084.4651603766758
2340.0,1074.271527669774,1061.9987089298243,1084.421687843924
2350.0,1074.1681037650585,1061.8488336127004,1084.3758167565188
2360.0,1074.067306405322,1061.71495721765,1084.3216311511744
2370.0,1073.9647085824986,1061.5988579726811,1084.2679714961832
2380.0,1073.862568908244,1061.4722123310473,1084.2151553690896
2390.0,1073.7573315839822,1061.342292266292,1084.1633296606565
2400.0,1073.6555064616666,1061.221193439904,1084.1009874489455
2410.0,1073.5538988875749,1061.0707722788222,1084.0514493407384
2420.0,1073.4532322437517,1060.9511803033333,1083.9990137933862
2430.0,1073.3511277333243,1060.834940679883,1083.945868530648
2440.0,1073.247923550554,1060.7237121211294,1083.8808241388806
2450.0,1073.144489805802,1060.6040081353542,1083.8220212138203
2460.0,1073.0440810183347,1060.4790155997384,1083.7657692488742
