unit,height,height_sigma,age ,two_sigma,system,study,year
Lake Shore Traps,1300,1,1085.57,1.3,upb,Fairchild et al,2017
Nonesuch,1900,100,1078,24,re_os,Cumming et al ,2013
Freda,5800,1,1052,0.85,upb,Hodgin,
