tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	MT	18.0	249.1	-12.8	12.4	2	18	100.0	BRa.12a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:35:50	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.12	pmagpy-4.2.113: demag_gui	BRa.12a
This study	MT	3.9	252.5	31.7	2.1	2	18	0.0	BRa.13a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:36:56	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.13	pmagpy-4.2.113: demag_gui	BRa.13a
This study	HT	0.0	236.3	44.0	5.2	2	11	0.0	BRa.13a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:36:56	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.13	pmagpy-4.2.113: demag_gui	BRa.13a
This study	MT	3.9	257.4	-22.6	2.1	2	18	100.0	BRa.13a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:36:56	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.13	pmagpy-4.2.113: demag_gui	BRa.13a
This study	HT	0.0	260.4	-5.2	5.2	2	11	100.0	BRa.13a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:36:56	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.13	pmagpy-4.2.113: demag_gui	BRa.13a
This study	MT	5.1	245.7	51.0	2.8	2	18	0.0	BRa.14a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:41:12	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.14	pmagpy-4.2.113: demag_gui	BRa.14a
This study	HT	0.0	221.9	50.8	3.9	2	11	0.0	BRa.14a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:41:12	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.14	pmagpy-4.2.113: demag_gui	BRa.14a
This study	MT	5.1	269.7	-6.6	2.8	2	18	100.0	BRa.14a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:41:12	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.14	pmagpy-4.2.113: demag_gui	BRa.14a
This study	HT	0.0	262.5	6.5	3.9	2	11	100.0	BRa.14a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:41:12	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.14	pmagpy-4.2.113: demag_gui	BRa.14a
This study	MT	2.7	255.0	27.9	3.6	2	18	0.0	BRa.15a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:42:21	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.15	pmagpy-4.2.113: demag_gui	BRa.15a
