tab 	sites
age	age_high	age_low	age_sigma	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	samples	site	software_packages	specimens
1077	1090	1068	13	Ma	This study	ACCEPT	6.7	HT	259.4	-5.8	25	2	2	2	t	19.2344	100	Sedimentary	Sediment Layer	46.4	Sandstone	Bad River	269.4	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	BRc.10a:BRc.11a:BRc.12a:BRc.15a:BRc.18a:BRc.19a:BRc.1a:BRc.22a:BRc.27a:BRc.2a:BRc.31a:BRc.32a:BRc.33a:BRc.34a:BRc.35a:BRc.38a:BRc.3a:BRc.45a:BRc.4a:BRc.7a	BRc	pmagpy-4.2.113: demag_gui.v.3.0	BRc.10a:BRc.11a:BRc.12a:BRc.15a:BRc.18a:BRc.19a:BRc.1a:BRc.22a:BRc.27a:BRc.2a:BRc.31a:BRc.32a:BRc.33a:BRc.34a:BRc.35a:BRc.38a:BRc.3a:BRc.45a:BRc.4a:BRc.7a
1077	1090	1068	13	Ma	This study	ACCEPT	5.5	MT	263.6	-6.4	37	2	2	2	t	19.4801	100	Sedimentary	Sediment Layer	46.4	Sandstone	Bad River	269.4	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	BRc.10a:BRc.11a:BRc.12a:BRc.15a:BRc.18a:BRc.19a:BRc.1a:BRc.22a:BRc.27a:BRc.2a:BRc.31a:BRc.32a:BRc.33a:BRc.34a:BRc.35a:BRc.38a:BRc.3a:BRc.45a:BRc.4a:BRc.7a	BRc	pmagpy-4.2.113: demag_gui.v.3.0	BRc.10a:BRc.11a:BRc.12a:BRc.15a:BRc.18a:BRc.19a:BRc.1a:BRc.22a:BRc.27a:BRc.2a:BRc.31a:BRc.32a:BRc.33a:BRc.34a:BRc.35a:BRc.38a:BRc.3a:BRc.45a:BRc.4a:BRc.7a
1077	1090	1068	13	Ma	This study	ACCEPT	3.4	HT	252.9	48.3	34	55	55	55	t	53.3985	0	Sedimentary	Sediment Layer	46.4	Sandstone	Bad River	269.4	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	BRd.10a:BRd.11a:BRd.13a:BRd.14a:BRd.15a:BRd.16a:BRd.17a:BRd.18a:BRd.19a:BRd.1a:BRd.20a:BRd.22a:BRd.23a:BRd.25a:BRd.27a:BRd.29a:BRd.30a:BRd.31a:BRd.32a:BRd.33a:BRd.34a:BRd.35a:BRd.36a:BRd.37a:BRd.38a:BRd.39a:BRd.3a:BRd.40a:BRd.42a:BRd.44a:BRd.46a:BRd.47a:BRd.48a:BRd.49a:BRd.51a:BRd.52a:BRd.53a:BRd.54a:BRd.55a:BRd.57a:BRd.58a:BRd.59a:BRd.5a:BRd.60a:BRd.61a:BRd.62a:BRd.63a:BRd.65a:BRd.67a:BRd.68a:BRd.69a:BRd.6a:BRd.70a:BRd.7a:BRd.8a	BRd	pmagpy-4.2.113: demag_gui.v.3.0	BRd.10a:BRd.11a:BRd.13a:BRd.14a:BRd.15a:BRd.16a:BRd.17a:BRd.18a:BRd.19a:BRd.1a:BRd.20a:BRd.22a:BRd.23a:BRd.25a:BRd.27a:BRd.29a:BRd.30a:BRd.31a:BRd.32a:BRd.33a:BRd.34a:BRd.35a:BRd.36a:BRd.37a:BRd.38a:BRd.39a:BRd.3a:BRd.40a:BRd.42a:BRd.44a:BRd.46a:BRd.47a:BRd.48a:BRd.49a:BRd.51a:BRd.52a:BRd.53a:BRd.54a:BRd.55a:BRd.57a:BRd.58a:BRd.59a:BRd.5a:BRd.60a:BRd.61a:BRd.62a:BRd.63a:BRd.65a:BRd.67a:BRd.68a:BRd.69a:BRd.6a:BRd.70a:BRd.7a:BRd.8a
1077	1090	1068	13	Ma	This study	ACCEPT	3.2	MT	259.2	52.4	35	57	57	57	t	55.4097	0	Sedimentary	Sediment Layer	46.4	Sandstone	Bad River	269.4	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	BRd.10a:BRd.11a:BRd.13a:BRd.14a:BRd.15a:BRd.16a:BRd.17a:BRd.18a:BRd.19a:BRd.1a:BRd.20a:BRd.21a:BRd.22a:BRd.23a:BRd.25a:BRd.27a:BRd.29a:BRd.2a:BRd.30a:BRd.31a:BRd.32a:BRd.33a:BRd.34a:BRd.35a:BRd.36a:BRd.37a:BRd.38a:BRd.39a:BRd.3a:BRd.40a:BRd.42a:BRd.44a:BRd.46a:BRd.47a:BRd.48a:BRd.49a:BRd.51a:BRd.52a:BRd.53a:BRd.54a:BRd.55a:BRd.57a:BRd.58a:BRd.59a:BRd.5a:BRd.60a:BRd.61a:BRd.62a:BRd.63a:BRd.65a:BRd.67a:BRd.68a:BRd.69a:BRd.6a:BRd.70a:BRd.7a:BRd.8a	BRd	pmagpy-4.2.113: demag_gui.v.3.0	BRd.10a:BRd.11a:BRd.13a:BRd.14a:BRd.15a:BRd.16a:BRd.17a:BRd.18a:BRd.19a:BRd.1a:BRd.20a:BRd.21a:BRd.22a:BRd.23a:BRd.25a:BRd.27a:BRd.29a:BRd.2a:BRd.30a:BRd.31a:BRd.32a:BRd.33a:BRd.34a:BRd.35a:BRd.36a:BRd.37a:BRd.38a:BRd.39a:BRd.3a:BRd.40a:BRd.42a:BRd.44a:BRd.46a:BRd.47a:BRd.48a:BRd.49a:BRd.51a:BRd.52a:BRd.53a:BRd.54a:BRd.55a:BRd.57a:BRd.58a:BRd.59a:BRd.5a:BRd.60a:BRd.61a:BRd.62a:BRd.63a:BRd.65a:BRd.67a:BRd.68a:BRd.69a:BRd.6a:BRd.70a:BRd.7a:BRd.8a
1077	1090	1068	13	Ma	This study	ACCEPT	3.4	HT	270.7	-11.9	34	55	55	55	t	53.3988	100	Sedimentary	Sediment Layer	46.4	Sandstone	Bad River	269.4	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	BRd.10a:BRd.11a:BRd.13a:BRd.14a:BRd.15a:BRd.16a:BRd.17a:BRd.18a:BRd.19a:BRd.1a:BRd.20a:BRd.22a:BRd.23a:BRd.25a:BRd.27a:BRd.29a:BRd.30a:BRd.31a:BRd.32a:BRd.33a:BRd.34a:BRd.35a:BRd.36a:BRd.37a:BRd.38a:BRd.39a:BRd.3a:BRd.40a:BRd.42a:BRd.44a:BRd.46a:BRd.47a:BRd.48a:BRd.49a:BRd.51a:BRd.52a:BRd.53a:BRd.54a:BRd.55a:BRd.57a:BRd.58a:BRd.59a:BRd.5a:BRd.60a:BRd.61a:BRd.62a:BRd.63a:BRd.65a:BRd.67a:BRd.68a:BRd.69a:BRd.6a:BRd.70a:BRd.7a:BRd.8a	BRd	pmagpy-4.2.113: demag_gui.v.3.0	BRd.10a:BRd.11a:BRd.13a:BRd.14a:BRd.15a:BRd.16a:BRd.17a:BRd.18a:BRd.19a:BRd.1a:BRd.20a:BRd.22a:BRd.23a:BRd.25a:BRd.27a:BRd.29a:BRd.30a:BRd.31a:BRd.32a:BRd.33a:BRd.34a:BRd.35a:BRd.36a:BRd.37a:BRd.38a:BRd.39a:BRd.3a:BRd.40a:BRd.42a:BRd.44a:BRd.46a:BRd.47a:BRd.48a:BRd.49a:BRd.51a:BRd.52a:BRd.53a:BRd.54a:BRd.55a:BRd.57a:BRd.58a:BRd.59a:BRd.5a:BRd.60a:BRd.61a:BRd.62a:BRd.63a:BRd.65a:BRd.67a:BRd.68a:BRd.69a:BRd.6a:BRd.70a:BRd.7a:BRd.8a
1077	1090	1068	13	Ma	This study	ACCEPT	3.2	MT	276.5	-11.7	35	57	57	57	t	55.4083	100	Sedimentary	Sediment Layer	46.4	Sandstone	Bad River	269.4	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	BRd.10a:BRd.11a:BRd.13a:BRd.14a:BRd.15a:BRd.16a:BRd.17a:BRd.18a:BRd.19a:BRd.1a:BRd.20a:BRd.21a:BRd.22a:BRd.23a:BRd.25a:BRd.27a:BRd.29a:BRd.2a:BRd.30a:BRd.31a:BRd.32a:BRd.33a:BRd.34a:BRd.35a:BRd.36a:BRd.37a:BRd.38a:BRd.39a:BRd.3a:BRd.40a:BRd.42a:BRd.44a:BRd.46a:BRd.47a:BRd.48a:BRd.49a:BRd.51a:BRd.52a:BRd.53a:BRd.54a:BRd.55a:BRd.57a:BRd.58a:BRd.59a:BRd.5a:BRd.60a:BRd.61a:BRd.62a:BRd.63a:BRd.65a:BRd.67a:BRd.68a:BRd.69a:BRd.6a:BRd.70a:BRd.7a:BRd.8a	BRd	pmagpy-4.2.113: demag_gui.v.3.0	BRd.10a:BRd.11a:BRd.13a:BRd.14a:BRd.15a:BRd.16a:BRd.17a:BRd.18a:BRd.19a:BRd.1a:BRd.20a:BRd.21a:BRd.22a:BRd.23a:BRd.25a:BRd.27a:BRd.29a:BRd.2a:BRd.30a:BRd.31a:BRd.32a:BRd.33a:BRd.34a:BRd.35a:BRd.36a:BRd.37a:BRd.38a:BRd.39a:BRd.3a:BRd.40a:BRd.42a:BRd.44a:BRd.46a:BRd.47a:BRd.48a:BRd.49a:BRd.51a:BRd.52a:BRd.53a:BRd.54a:BRd.55a:BRd.57a:BRd.58a:BRd.59a:BRd.5a:BRd.60a:BRd.61a:BRd.62a:BRd.63a:BRd.65a:BRd.67a:BRd.68a:BRd.69a:BRd.6a:BRd.70a:BRd.7a:BRd.8a
1051	1053	1050	2	Ma	This study	ACCEPT	5.3	HT	250.6	65.5	19	39	39	39	t	37.0484	0	Sedimentary	Sediment Layer	46.6	Sandstone	Lake Road	269.6	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	LRa.10:LRa.11:LRa.12:LRa.13:LRa.14:LRa.15:LRa.16:LRa.18:LRa.1:LRa.21:LRa.23:LRa.24:LRa.25:LRa.26:LRa.27:LRa.28:LRa.29:LRa.2:LRa.30:LRa.31:LRa.32:LRa.33:LRa.34:LRa.35:LRa.36:LRa.37:LRa.38:LRa.39:LRa.3:LRa.40:LRa.41:LRa.42:LRa.44:LRa.4:LRa.5:LRa.6:LRa.7:LRa.8:LRa.9	LRa	pmagpy-4.2.113: demag_gui.v.3.0	LRa.10a:LRa.11a:LRa.12a:LRa.13a:LRa.14a:LRa.15a:LRa.16a:LRa.18a:LRa.1a:LRa.21a:LRa.23a:LRa.24a:LRa.25a:LRa.26a:LRa.27a:LRa.28a:LRa.29a:LRa.2a:LRa.30a:LRa.31a:LRa.32a:LRa.33a:LRa.34a:LRa.35a:LRa.36a:LRa.37a:LRa.38a:LRa.39a:LRa.3a:LRa.40a:LRa.41a:LRa.42a:LRa.44a:LRa.4a:LRa.5a:LRa.6a:LRa.7a:LRa.8a:LRa.9a
1051	1053	1050	2	Ma	This study	ACCEPT	5.5	MT	253.9	64.9	23	31	31	31	t	29.6849	0	Sedimentary	Sediment Layer	46.6	Sandstone	Lake Road	269.6	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	LRa.10:LRa.11:LRa.12:LRa.13:LRa.14:LRa.15:LRa.18:LRa.1:LRa.20:LRa.21:LRa.23:LRa.24:LRa.25:LRa.26:LRa.27:LRa.28:LRa.2:LRa.31:LRa.32:LRa.33:LRa.34:LRa.37:LRa.38:LRa.39:LRa.40:LRa.41:LRa.42:LRa.4:LRa.5:LRa.7:LRa.8	LRa	pmagpy-4.2.113: demag_gui.v.3.0	LRa.10a:LRa.11a:LRa.12a:LRa.13a:LRa.14a:LRa.15a:LRa.18a:LRa.1a:LRa.20a:LRa.21a:LRa.23a:LRa.24a:LRa.25a:LRa.26a:LRa.27a:LRa.28a:LRa.2a:LRa.31a:LRa.32a:LRa.33a:LRa.34a:LRa.37a:LRa.38a:LRa.39a:LRa.40a:LRa.41a:LRa.42a:LRa.4a:LRa.5a:LRa.7a:LRa.8a
1051	1053	1050	2	Ma	This study	ACCEPT	5.3	HT	297.7	4.3	19	39	39	39	t	37.049	100	Sedimentary	Sediment Layer	46.6	Sandstone	Lake Road	269.6	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	LRa.10:LRa.11:LRa.12:LRa.13:LRa.14:LRa.15:LRa.16:LRa.18:LRa.1:LRa.21:LRa.23:LRa.24:LRa.25:LRa.26:LRa.27:LRa.28:LRa.29:LRa.2:LRa.30:LRa.31:LRa.32:LRa.33:LRa.34:LRa.35:LRa.36:LRa.37:LRa.38:LRa.39:LRa.3:LRa.40:LRa.41:LRa.42:LRa.44:LRa.4:LRa.5:LRa.6:LRa.7:LRa.8:LRa.9	LRa	pmagpy-4.2.113: demag_gui.v.3.0	LRa.10a:LRa.11a:LRa.12a:LRa.13a:LRa.14a:LRa.15a:LRa.16a:LRa.18a:LRa.1a:LRa.21a:LRa.23a:LRa.24a:LRa.25a:LRa.26a:LRa.27a:LRa.28a:LRa.29a:LRa.2a:LRa.30a:LRa.31a:LRa.32a:LRa.33a:LRa.34a:LRa.35a:LRa.36a:LRa.37a:LRa.38a:LRa.39a:LRa.3a:LRa.40a:LRa.41a:LRa.42a:LRa.44a:LRa.4a:LRa.5a:LRa.6a:LRa.7a:LRa.8a:LRa.9a
1051	1053	1050	2	Ma	This study	ACCEPT	5.5	MT	297.8	2.8	23	31	31	31	t	29.6842	100	Sedimentary	Sediment Layer	46.6	Sandstone	Lake Road	269.6	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	LRa.10:LRa.11:LRa.12:LRa.13:LRa.14:LRa.15:LRa.18:LRa.1:LRa.20:LRa.21:LRa.23:LRa.24:LRa.25:LRa.26:LRa.27:LRa.28:LRa.2:LRa.31:LRa.32:LRa.33:LRa.34:LRa.37:LRa.38:LRa.39:LRa.40:LRa.41:LRa.42:LRa.4:LRa.5:LRa.7:LRa.8	LRa	pmagpy-4.2.113: demag_gui.v.3.0	LRa.10a:LRa.11a:LRa.12a:LRa.13a:LRa.14a:LRa.15a:LRa.18a:LRa.1a:LRa.20a:LRa.21a:LRa.23a:LRa.24a:LRa.25a:LRa.26a:LRa.27a:LRa.28a:LRa.2a:LRa.31a:LRa.32a:LRa.33a:LRa.34a:LRa.37a:LRa.38a:LRa.39a:LRa.40a:LRa.41a:LRa.42a:LRa.4a:LRa.5a:LRa.7a:LRa.8a
