THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
1.6,fn,Sandstone,Oronto,Freda
4.8,fn,Sandstone,Oronto,Freda
1.6,vfs,Sandstone,Oronto,Freda
1.6,vfscb,Sandstone,Oronto,Freda
0.08,vfs,Sandstone,Oronto,Freda
2.25,vfs,Sandstone,Oronto,Freda
0.22,mds,Sandstone,Oronto,Freda
4.58,fn,Sandstone,Oronto,Freda
1.25,fn,Sandstone,Oronto,Freda
0.23,fn,Sandstone,Oronto,Freda
1.18,vfs,Sandstone,Oronto,Freda
1.76,vfs,Sandstone,Oronto,Freda
0.06,mds,Sandstone,Oronto,Freda
4.95,fn,Sandstone,Oronto,Freda
0.83,mds,Sandstone,Oronto,Freda
2.55,vfs,Sandstone,Oronto,Freda
0.2,mds,Sandstone,Oronto,Freda
5.4,fn,Sandstone,Oronto,Freda
0.25,mds,Sandstone,Oronto,Freda
3,fn,Sandstone,Oronto,Freda
0.4,cs,Sandstone,Oronto,Freda
5.54,fn,Sandstone,Oronto,Freda
3.57,mdscb,Sandstone,Oronto,Freda
0.15,silt,Siltstone,Oronto,Freda
5.8,fn,Sandstone,Oronto,Freda
7,mds,Sandstone,Oronto,Freda
0.15,vfs,Sandstone,Oronto,Freda
0.08,mds,Sandstone,Oronto,Freda
0.9,vfs,Sandstone,Oronto,Freda
0.2,mds,Sandstone,Oronto,Freda
2.8,fn,Sandstone,Oronto,Freda
2.13,silt,Siltstone,Oronto,Freda
6.07,fn,Sandstone,Oronto,Freda
1.74,vfscb,Sandstone,Oronto,Freda
4.3,silt,Siltstone,Oronto,Freda
