facies,R,G,B,width,swatch
silt,240,59,32,0.3,616
vfs,253,174,107,0.6,607
vfscb,206,131,111,0.6,610
fn,254,217,118,0.7,607
fncb,254,217,118,0.7,610
mds,254,255,178,0.8,607
mdscb,254,255,178,0.8,610
cs,255,255,178,0.9,607
cscb,255,255,178,0.9,610
cng,242,195,110,1,602
cover,255,255,255,0.2,0
