THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
0.1,silt,Siltstone,Oronto,Freda
0.5,mds,Sandstone,Oronto,Freda
0.25,fn,Sandstone,Oronto,Freda
0.25,silt,Siltstone,Oronto,Freda
0.08,mds,Sandstone,Oronto,Freda
0.18,silt,Siltstone,Oronto,Freda
1.56,mds,Sandstone,Oronto,Freda
0.12,fn,Sandstone,Oronto,Freda
2.1,mds,Sandstone,Oronto,Freda
0.25,fn,Sandstone,Oronto,Freda
0.15,cs,Sandstone,Oronto,Freda
2.5,cscb,Sandstone,Oronto,Freda
0.05,silt,Siltstone,Oronto,Freda
1.09,cscb,Sandstone,Oronto,Freda
0.03,cng,Conglomerate,Oronto,Freda
0.65,cs,Sandstone,Oronto,Freda
0.23,cng,Conglomerate,Oronto,Freda
0.1,vfs,Sandstone,Oronto,Freda
0.75,cng,Conglomerate,Oronto,Freda
0.12,cs,Sandstone,Oronto,Freda
0.15,fn,Sandstone,Oronto,Freda
0.7,mds,Sandstone,Oronto,Freda
0.97,vfs,Sandstone,Oronto,Freda
0.9,cs,Sandstone,Oronto,Freda
0.02,silt,Siltstone,Oronto,Freda
1.1,cscb,Sandstone,Oronto,Freda
0.09,cs,Sandstone,Oronto,Freda
0.2,fn,Sandstone,Oronto,Freda
0.3,cs,Sandstone,Oronto,Freda
0.4,cs,Sandstone,Oronto,Freda
0.08,silt,Siltstone,Oronto,Freda
0.68,mds,Sandstone,Oronto,Freda
0.12,mds,Sandstone,Oronto,Freda
0.13,cng,Sandstone,Oronto,Freda
0.04,silt,Siltstone,Oronto,Freda
0.55,cng,Conglomerate,Oronto,Freda
0.08,silt,Siltstone,Oronto,Freda
0.03,cng,Conglomerate,Oronto,Freda
0.09,silt,Siltstone,Oronto,Freda
0.6,cng,Conglomerate,Oronto,Freda
0.1,mds,Sandstone,Oronto,Freda
0.4,silt,Siltstone,Oronto,Freda
1.07,cng,Conglomerate,Oronto,Freda
0.03,silt,Siltstone,Oronto,Freda
