THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
1000,Basalt,Basalt,MCR,Porcupine Volcanics
750,Conglomerate,Conglomerat,Oronto,Copper Harbor
300,Siltstone,Siltstone,Oronto,Nonesuch
4000,Cross Sand,Cross Sand,Oronto,Freda
