THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
1.91,silt,Siltstone,Oronto,Freda
0.11,cs,Sandstone,Oronto,Freda
1.38,vfs,Sandstone,Oronto,Freda
0.17,cng,Conglomerate,Oronto,Freda
0.38,mds,Sandstone,Oronto,Freda
0.26,vfs,Sandstone,Oronto,Freda
0.39,cs,Sandstone,Oronto,Freda
1.11,vfs,Sandstone,Oronto,Freda
0.4,cs,Sandstone,Oronto,Freda
2,vfs,Sandstone,Oronto,Freda
0.5,cs,Sandstone,Oronto,Freda
0.08,mds,Sandstone,Oronto,Freda
0.06,cs,Sandstone,Oronto,Freda
0.27,vfscb,Sandstone,Oronto,Freda
0.05,cs,Sandstone,Oronto,Freda
2.18,silt,Siltstone,Oronto,Freda
0.39,cs,Sandstone,Oronto,Freda
1.55,fn,Sandstone,Oronto,Freda
0.35,cs,Sandstone,Oronto,Freda
0.37,silt,Siltstone,Oronto,Freda
0.07,cs,Sandstone,Oronto,Freda
0.46,silt,Siltstone,Oronto,Freda
0.08,cs,Sandstone,Oronto,Freda
0.22,fn,Sandstone,Oronto,Freda
0.24,cs,Sandstone,Oronto,Freda
0.16,cs,Sandstone,Oronto,Freda
0.34,vfs,Sandstone,Oronto,Freda
0.18,cng,Conglomerate,Oronto,Freda
0.07,vfs,Sandstone,Oronto,Freda
0.13,cng,Conglomerate,Oronto,Freda
0.06,fn,Sandstone,Oronto,Freda
0.15,cs,Sandstone,Oronto,Freda
1.14,vfs,Sandstone,Oronto,Freda
0.64,cs,Sandstone,Oronto,Freda
2.75,fn,Sandstone,Oronto,Freda
0.11,cng,Conglomerate,Oronto,Freda
0.1,fn,Sandstone,Oronto,Freda
0.57,cng,Conglomerate,Oronto,Freda
0.24,mds,Sandstone,Oronto,Freda
1.79,vfs,Sandstone,Oronto,Freda
0.6,cng,Conglomerate,Oronto,Freda
0.65,fn,Sandstone,Oronto,Freda
0.8,vfs,Sandstone,Oronto,Freda
0.1,mds,Sandstone,Oronto,Freda
0.9,fn,Sandstone,Oronto,Freda
0.45,mds,Sandstone,Oronto,Freda
1.3,fn,Sandstone,Oronto,Freda
0.85,cng,Conglomerate,Oronto,Freda
0.9,fn,Sandstone,Oronto,Freda
0.05,cs,Sandstone,Oronto,Freda
0.85,fn,Sandstone,Oronto,Freda
0.05,cs,Sandstone,Oronto,Freda
0.07,fn,Sandstone,Oronto,Freda
0.4,cs,Sandstone,Oronto,Freda
2,fn,Sandstone,Oronto,Freda
0.18,cs,Sandstone,Oronto,Freda
0.4,vfs,Sandstone,Oronto,Freda
0.11,cng,Conglomerate,Oronto,Freda
0.13,mds,Sandstone,Oronto,Freda
0.08,cs,Sandstone,Oronto,Freda
2.4,mdscb,Sandstone,Oronto,Freda
0.27,cs,Sandstone,Oronto,Freda
0.28,vfs,Sandstone,Oronto,Freda
0.03,cng,Conglomerate,Oronto,Freda
0.09,fn,Sandstone,Oronto,Freda
0.04,cs,Sandstone,Oronto,Freda
1.5,vfs,Sandstone,Oronto,Freda
0.1,cs,Sandstone,Oronto,Freda
0.97,silt,Sandstone,Oronto,Freda
0.17,cng,Conglomerate,Oronto,Freda
1.39,fn,Sandstone,Oronto,Freda
0.29,mds,Sandstone,Oronto,Freda
0.03,vfs,Sandstone,Oronto,Freda
0.05,cs,Sandstone,Oronto,Freda
0.55,fn,Sandstone,Oronto,Freda
0.97,silt,Siltstone,Oronto,Freda
0.15,cng,Conglomerate,Oronto,Freda
0.06,mds,Sandstone,Oronto,Freda
0.16,cs,Sandstone,Oronto,Freda
0.05,silt,Siltstone,Oronto,Freda
0.14,cs,Sandstone,Oronto,Freda
0.18,cs,Sandstone,Oronto,Freda
2.6,silt,Siltstone,Oronto,Freda
0.65,cng,Conglomerate,Oronto,Freda
0.3,mds,Sandstone,Oronto,Freda
0.18,fn,Sandstone,Oronto,Freda
1.37,vfs,Sandstone,Oronto,Freda
0.33,cng,Conglomerate,Oronto,Freda
0.42,cs,Sandstone,Oronto,Freda
0.1,vfs,Sandstone,Oronto,Freda
0.03,cs,Sandstone,Oronto,Freda
1.05,silt,Siltstone,Oronto,Freda
0.1,cs,Sandstone,Oronto,Freda
0.37,fn,Sandstone,Oronto,Freda
0.66,cng,Conglomerate,Oronto,Freda
1.3,vfs,Sandstone,Oronto,Freda
0.09,cs,Sandstone,Oronto,Freda
0.48,cng,Conglomerate,Oronto,Freda
0.57,fn,Sandstone,Oronto,Freda
0.5,silt,Siltstone,Oronto,Freda
0.08,cs,Sandstone,Oronto,Freda
0.35,silt,Siltstone,Oronto,Freda
