THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
0.93,cng,Conglomerate,Oronto,Freda
0.69,vfs,Sandstone,Oronto,Freda
0.09,cng,Conglomerate,Oronto,Freda
1.8,silt,Siltstone,Oronto,Freda
1.6,vfs,Sandstone,Oronto,Freda
0.78,cng,Conglomerate,Oronto,Freda
0.8,vfs,Sandstone,Oronto,Freda
0.6,cng,Conglomerate,Oronto,Freda
4.1,vfs,Sandstone,Oronto,Freda
0.3,cng,Conglomerate,Oronto,Freda
2.13,fncb,Sandstone,Oronto,Freda
0.11,cng,Conglomerate,Oronto,Freda
2.7,vfs,Sandstone,Oronto,Freda
1.95,cng,Conglomerate,Oronto,Freda
1.2,silt,Siltstone,Oronto,Freda
0.12,mds,Sandstone,Oronto,Freda
0.03,cs,Sandstone,Oronto,Freda
0.2,fncb,Sandstone,Oronto,Freda
0.14,cscb,Sandstone,Oronto,Freda
0.45,fncb,Sandstone,Oronto,Freda
0.86,cscb,Sandstone,Oronto,Freda
0.07,cs,Sandstone,Oronto,Freda
0.75,mdscb,Sandstone,Oronto,Freda
0.14,vfs,Sandstone,Oronto,Freda
0.26,cng,Conglomerate,Oronto,Freda
0.3,fncb,Sandstone,Oronto,Freda
0.71,vfs,Sandstone,Oronto,Freda
0.29,vfs,Sandstone,Oronto,Freda
0.16,mds,Sandstone,Oronto,Freda
0.65,cscb,Sandstone,Oronto,Freda
1.3,fncb,Sandstone,Oronto,Freda
0.17,cs,Sandstone,Oronto,Freda
1.6,vfscb,Sandstone,Oronto,Freda
0.35,cs,Sandstone,Oronto,Freda
0.15,vfs,Sandstone,Oronto,Freda
1.6,cng,Conglomerate,Oronto,Freda
0.77,mdscb,Sandstone,Oronto,Freda
0.86,cng,Conglomerate,Oronto,Freda
2.5,vfscb,Sandstone,Oronto,Freda
0.3,cng,Conglomerate,Oronto,Freda
0.2,mds,Sandstone,Oronto,Freda
0.6,cng,Conglomerate,Oronto,Freda
0.12,mds,Sandstone,Oronto,Freda
0.75,cng,Conglomerate,Oronto,Freda
0.25,cng,Conglomerate,Oronto,Freda
0.5,vfs,Sandstone,Oronto,Freda
1.3,vfs,Sandstone,Oronto,Freda
0.6,mds,Sandstone,Oronto,Freda
2,vfscb,Sandstone,Oronto,Freda
1.13,silt,Siltstone,Oronto,Freda
0.57,cng,Conglomerate,Oronto,Freda
0.54,vfs,Sandstone,Oronto,Freda
1.6,silt,Siltstone,Oronto,Freda
0.15,cs,Sandstone,Oronto,Freda
0.36,cs,Sandstone,Oronto,Freda
1.37,silt,Siltstone,Oronto,Freda
0.93,cng,Conglomerate,Oronto,Freda
0.98,vfs,Sandstone,Oronto,Freda
0.14,mds,Sandstone,Oronto,Freda
0.15,vfs,Sandstone,Oronto,Freda
0.2,cng,Conglomerate,Oronto,Freda
0.15,cscb,Sandstone,Oronto,Freda
0.1,cng,Conglomerate,Oronto,Freda
1.09,vfscb,Sandstone,Oronto,Freda
1.04,cs,Sandstone,Oronto,Freda
0.26,vfs,Sandstone,Oronto,Freda
1,silt,Siltstone,Oronto,Freda
0.18,fncb,Sandstone,Oronto,Freda
0.5,cscb,Sandstone,Oronto,Freda
0.77,cng,Conglomerate,Oronto,Freda
0.12,mdscb,Sandstone,Oronto,Freda
0.4,mdscb,Sandstone,Oronto,Freda
0.27,cs,Sandstone,Oronto,Freda
0.76,vfs,Sandstone,Oronto,Freda
1.4,silt,Siltstone,Oronto,Freda
0.52,cng,Conglomerate,Oronto,Freda
0.38,cscb,Sandstone,Oronto,Freda
1.3,mds,Sandstone,Oronto,Freda
0.93,cng,Conglomerate,Oronto,Freda
0.05,vfs,Sandstone,Oronto,Freda
0.12,cs,Sandstone,Oronto,Freda
0.42,mds,Sandstone,Oronto,Freda
0.07,cs,Sandstone,Oronto,Freda
3,vfs,Sandstone,Oronto,Freda
0.7,fncb,Sandstone,Oronto,Freda
0.75,silt,Siltstone,Oronto,Freda
0.7,cng,Conglomerate,Oronto,Freda
0.39,fncb,Sandstone,Oronto,Freda
0.55,vfs,Sandstone,Oronto,Freda
0.62,cng,Conglomerate,Oronto,Freda
1.45,fn,Sandstone,Oronto,Freda
0.23,cng,Conglomerate,Oronto,Freda
1.65,silt,Siltstone,Oronto,Freda
1.25,cscb,Sandstone,Oronto,Freda
1.2,cng,Conglomerate,Oronto,Freda
0.3,cs,Sandstone,Oronto,Freda
0.09,vfs,Sandstone,Oronto,Freda
0.29,cs,Sandstone,Oronto,Freda
1.87,vfs,Sandstone,Oronto,Freda
