THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
0.65,vfs,Sandstone,Oronto,Freda
0.19,cs,Sandstone,Oronto,Freda
0.13,mds,Siltstone,Oronto,Freda
0.17,cs,Sandstone,Oronto,Freda
0.16,silt,Sandstone,Oronto,Freda
0.06,cs,Sandstone,Oronto,Freda
0.33,vfs,Sandstone,Oronto,Freda
1.7,cover,Sandstone,Oronto,Freda
0.11,cs,Sandstone,Oronto,Freda
0.14,silt,Sandstone,Oronto,Freda
0.24,cscb,Sandstone,Oronto,Freda
0.13,vfs,Sandstone,Oronto,Freda
3.2,cover,Cover,Oronto,Freda
4.8,vfs,Sandstone,Oronto,Freda
1.3,cscb,Sandstone,Oronto,Freda
2.6,cover,Cover,Oronto,Freda
0.13,vfs,Sandstone,Oronto,Freda
2.55,cscb,Sandstone,Oronto,Freda
0.16,vfs,Sandstone,Oronto,Freda
0.32,cs,Sandstone,Oronto,Freda
1.4,vfs,Sandstone,Oronto,Freda
0.3,mds,Sandstone,Oronto,Freda
0.15,vfs,Sandstone,Oronto,Freda
0.55,mds,Sandstone,Oronto,Freda
0.1,silt,Siltstone,Oronto,Freda
1.2,cover,Cover,Oronto,Freda
0.26,vfs,Sandstone,Oronto,Freda
0.95,cscb,Sandstone,Oronto,Freda
4,cover,Cover,Oronto,Freda
0.35,fn,Sandstone,Oronto,Freda
1.6,cscb,Sandstone,Oronto,Freda
0.9,cover,Cover,Oronto,Freda
0.4,silt,Siltstone,Oronto,Freda
1.1,cscb,Sandstone,Oronto,Freda
4.9,cover,Cover,Oronto,Freda
0.15,cng,Conglomerate,Oronto,Freda
0.18,silt,Siltstone,Oronto,Freda
0.6,cng,Conglomerate,Oronto,Freda
0.7,vfs,Sandstone,Oronto,Freda
0.4,cscb,Sandstone,Oronto,Freda
0.5,fn,Sandstone,Oronto,Freda
0.6,cs,Sandstone,Oronto,Freda
0.3,vfs,Sandstone,Oronto,Freda
0.4,cscb,Sandstone,Oronto,Freda
1,vfs,Sandstone,Oronto,Freda
1.2,cover,Cover,Oronto,Freda
4.9,vfs,Sandstone,Oronto,Freda
1.9,cscb,Sandstone,Oronto,Freda
1,vfs,Sandstone,Oronto,Freda
2.8,cscb,Sandstone,Oronto,Freda
1.8,vfs,Sandstone,Oronto,Freda
0.6,mdscb,Sandstone,Oronto,Freda
1.3,vfs,Sandstone,Oronto,Freda
0.25,mds,Sandstone,Oronto,Freda
0.1,vfs,Sandstone,Oronto,Freda
0.15,cscb,Sandstone,Oronto,Freda
1,mds,Sandstone,Oronto,Freda
1.2,cscb,Sandstone,Oronto,Freda
2.3,silt,Siltstone,Oronto,Freda
0.7,cscb,Sandstone,Oronto,Freda
0.2,vfs,Sandstone,Oronto,Freda
0.1,cs,Sandstone,Oronto,Freda
0.4,vfs,Sandstone,Oronto,Freda
0.6,cs,Sandstone,Oronto,Freda
0.25,vfs,Sandstone,Oronto,Freda
0.5,cs,Sandstone,Oronto,Freda
1.2,vfs,Sandstone,Oronto,Freda
0.25,cs,Sandstone,Oronto,Freda
0.25,vfs,Sandstone,Oronto,Freda
0.15,cs,Sandstone,Oronto,Freda
0.15,vfs,Sandstone,Oronto,Freda
0.45,cscb,Sandstone,Oronto,Freda
2.05,vfs,Sandstone,Oronto,Freda
0.5,cscb,Sandstone,Oronto,Freda
2.8,vfs,Sandstone,Oronto,Freda
