THICKNESS,FACIES,LITHOLOGY,GROUP,FORMATION
2.2,vfs,Sandstone,Oronto,Freda
1.4,vfs,Sandstone,Oronto,Freda
0.1,silt,Siltstone,Oronto,Freda
1.4,vfs,Sandstone,Oronto,Freda
5.3,vfscb,Sandstone,Oronto,Freda
0.5,fn,Sandstone,Oronto,Freda
0.9,vfs,Sandstone,Oronto,Freda
3.1,fn,Sandstone,Oronto,Freda
0.2,fn,Sandstone,Oronto,Freda
12.6,vfs,Sandstone,Oronto,Freda
0.7,fncb,Sandstone,Oronto,Freda
0.8,vfs,Sandstone,Oronto,Freda
0.2,fn,Sandstone,Oronto,Freda
2.9,fn,Sandstone,Oronto,Freda
0.1,fncb,Sandstone,Oronto,Freda
0.8,vfs,Sandstone,Oronto,Freda
0.3,fncb,Sandstone,Oronto,Freda
1.5,vfs,Sandstone,Oronto,Freda
0.3,mdscb,Sandstone,Oronto,Freda
1.4,vfs,Sandstone,Oronto,Freda
1.2,cover,Cover,Oronto,Freda
4.3,vfs,Sandstone,Oronto,Freda
0.6,cover,Cover,Oronto,Freda
2.5,vfscb,Sandstone,Oronto,Freda
1,mds,Sandstone,Oronto,Freda
3.6,fn,Sandstone,Oronto,Freda
0.2,mdscb,Sandstone,Oronto,Freda
8.6,vfscb,Sandstone,Oronto,Freda
0.2,fncb,Sandstone,Oronto,Freda
2.3,fn,Sandstone,Oronto,Freda
0.2,mds,Sandstone,Oronto,Freda
5.2,vfs,Sandstone,Oronto,Freda
1.2,fncb,Sandstone,Oronto,Freda
