tab 	specimens
citations	description	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_nrm_origin	dir_polarity	dir_tilt_correction	int_corr	method_codes	result_quality	sample	specimen
Henry1977	Nonesuch shale	PRIM	272.1	12.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	35a	35a
Henry1977	Nonesuch shale	PRIM	261.9	21.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	35a	35a
Henry1977	Nonesuch shale	PRIM	271.7	-16	1	p	n	0	u	DE-BFL:LP-DIR-T	g	37a	37a
Henry1977	Nonesuch shale	PRIM	273.5	-4.9	1	p	n	100	u	DE-BFL:LP-DIR-T	g	37a	37a
Henry1977	Nonesuch shale	PRIM	281.7	-16	1	p	n	0	u	DE-BFL:LP-DIR-T	g	38a	38a
Henry1977	Nonesuch shale	PRIM	282.2	2.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	38a	38a
Henry1977	Nonesuch shale	PRIM	283.8	-18.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	38b	38b
Henry1977	Nonesuch shale	PRIM	284.4	0.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	38b	38b
Henry1977	Freda sandstone	PRIM	270.7	-19.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F1	F1
Henry1977	Freda sandstone	PRIM	267.7	-7.9	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F1	F1
Henry1977	Freda sandstone	PRIM	276.4	-16.2	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F2	F2
Henry1977	Freda sandstone	PRIM	268.1	-4.5	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F2	F2
Henry1977	Freda sandstone	SEC	284.6	-14.5	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F2	F2
Henry1977	Freda sandstone	SEC	281.9	-6	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F2	F2
Henry1977	Freda sandstone	PRIM	272.4	-10.2	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F4	F4
Henry1977	Freda sandstone	PRIM	271.4	1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F4	F4
Henry1977	Freda sandstone	PRIM	259.9	0.2	1	p	n	0	u	DE-BFL:LP-DIR-T	g	13X	13X
Henry1977	Freda sandstone	PRIM	260.7	-10.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	13X	13X
Henry1977	Freda sandstone	PRIM	259.9	-0.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	13Y	13Y
Henry1977	Freda sandstone	PRIM	260.8	-11.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	13Y	13Y
Henry1977	Freda sandstone	PRIM	266.9	-13.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F16	F16
Henry1977	Freda sandstone	PRIM	265.4	-4.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F16	F16
Henry1977	Freda sandstone	SEC	284.8	-20.5	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F16	F16
Henry1977	Freda sandstone	SEC	281.2	-13.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F16	F16
Henry1977	Freda sandstone	PRIM	266.9	-13.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F17	F17
Henry1977	Freda sandstone	PRIM	265.5	-3.5	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F17	F17
Henry1977	Freda sandstone	SEC	283.1	-20.6	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F17	F17
Henry1977	Freda sandstone	SEC	279.6	-13.7	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F17	F17
Henry1977	Freda sandstone	PRIM	268.6	-3.4	1	p	n	0	u	DE-BFL:LP-DIR-T	g	14V	14V
Henry1977	Freda sandstone	PRIM	268.8	6	1	p	n	100	u	DE-BFL:LP-DIR-T	g	14V	14V
Henry1977	Freda sandstone	PRIM	275.2	-4.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	14X	14X
Henry1977	Freda sandstone	PRIM	275.1	3.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	14X	14X
Henry1977	Freda sandstone	PRIM	271.9	-2.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	14Y	14Y
Henry1977	Freda sandstone	PRIM	272.3	6.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	14Y	14Y
Henry1977	Freda sandstone	PRIM	267	-11.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F10	F10
Henry1977	Freda sandstone	PRIM	265.9	-1.8	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F10	F10
Henry1977	Freda sandstone	SEC	280.8	-16.5	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F10	F10
Henry1977	Freda sandstone	SEC	278.3	-9.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F10	F10
Henry1977	Freda sandstone	PRIM	262.9	-12.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F5	F5
Henry1977	Freda sandstone	PRIM	261.8	-2.4	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F5	F5
Henry1977	Freda sandstone	SEC	284.5	-18.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F5	F5
Henry1977	Freda sandstone	SEC	281.3	-12.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F5	F5
Henry1977	Freda sandstone	PRIM	265.4	-12.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F6	F6
Henry1977	Freda sandstone	PRIM	264.2	-2.6	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F6	F6
Henry1977	Freda sandstone	SEC	282.3	-16.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F6	F6
Henry1977	Freda sandstone	SEC	279.8	-9.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F6	F6
Henry1977	Freda sandstone	PRIM	269.8	-11.4	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F7	F7
Henry1977	Freda sandstone	PRIM	268.7	-2.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F7	F7
Henry1977	Freda sandstone	PRIM	264.7	-13.8	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F8	F8
Henry1977	Freda sandstone	PRIM	263.3	-3.8	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F8	F8
Henry1977	Freda sandstone	PRIM	265.8	-14	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F9	F9
Henry1977	Freda sandstone	PRIM	264.4	-4.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F9	F9
Henry1977	Freda sandstone	SEC	288.9	-16.5	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F9	F9
Henry1977	Freda sandstone	SEC	286.4	-9.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F9	F9
Henry1977	Freda sandstone	PRIM	260	-12.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	15X	15X
Henry1977	Freda sandstone	PRIM	259	-1.9	1	p	n	100	u	DE-BFL:LP-DIR-T	g	15X	15X
Henry1977	Freda sandstone	PRIM	259.1	-11.2	2	p	n	0	u	DE-BFL:LP-DIR-T	g	15Y	15Y
Henry1977	Freda sandstone	PRIM	258.3	-0.5	2	p	n	100	u	DE-BFL:LP-DIR-T	g	15Y	15Y
Henry1977	Freda sandstone	SEC	285.7	-12.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	15Y	15Y
Henry1977	Freda sandstone	SEC	283.8	-5.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	15Y	15Y
Henry1977	Freda sandstone	PRIM	264.3	-11.2	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F18	F18
Henry1977	Freda sandstone	PRIM	263.4	-1.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F18	F18
Henry1977	Freda sandstone	SEC	277.8	-18.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F18	F18
Henry1977	Freda sandstone	SEC	275.1	-10.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F18	F18
Henry1977	Freda sandstone	PRIM	263.9	-11.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F19	F19
Henry1977	Freda sandstone	PRIM	262.9	-1.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F19	F19
Henry1977	Freda sandstone	SEC	280.6	-22.8	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F19	F19
Henry1977	Freda sandstone	SEC	276.9	-15.3	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F19	F19
Henry1977	Freda sandstone	PRIM	264.2	-12.3	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F20	F20
Henry1977	Freda sandstone	PRIM	263.1	-2.2	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F20	F20
Henry1977	Freda sandstone	PRIM	266.4	-22.2	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F21	F21
Henry1977	Freda sandstone	PRIM	263.6	-12.4	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F21	F21
Henry1977	Freda sandstone	SEC	276.2	-20.6	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F21	F21
Henry1977	Freda sandstone	SEC	273.1	-12.4	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F21	F21
Henry1977	Freda sandstone	PRIM	265.6	-25.4	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F22	F22
Henry1977	Freda sandstone	PRIM	262.3	-15.4	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F22	F22
Henry1977	Freda sandstone	PRIM	264.3	-24.9	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F23	F23
Henry1977	Freda sandstone	PRIM	261.3	-14.8	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F23	F23
Henry1977	Freda sandstone	PRIM	263.6	-21.8	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F24	F24
Henry1977	Freda sandstone	PRIM	261.1	-11.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F24	F24
Henry1977	Freda sandstone	PRIM	275.7	2.8	1	p	n	0	u	DE-BFL:LP-DIR-T	g	16X	16X
Henry1977	Freda sandstone	PRIM	277.1	11.2	1	p	n	100	u	DE-BFL:LP-DIR-T	g	16X	16X
Henry1977	Freda sandstone	SEC	293.7	-22.1	1	p	n	0	u	DE-BFL:LP-DIR-T	b	16Z	16Z
Henry1977	Freda sandstone	SEC	289	-16.9	1	p	n	100	u	DE-BFL:LP-DIR-T	b	16Z	16Z
Henry1977	Freda sandstone	PRIM	278.6	1.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F11	F11
Henry1977	Freda sandstone	PRIM	279.7	9.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F11	F11
Henry1977	Freda sandstone	SEC	281.2	-15.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F11	F11
Henry1977	Freda sandstone	SEC	278.8	-7.7	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F11	F11
Henry1977	Freda sandstone	PRIM	282.8	-0.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F12	F12
Henry1977	Freda sandstone	PRIM	283.4	6.3	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F12	F12
Henry1977	Freda sandstone	SEC	288	-9.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F12	F12
Henry1977	Freda sandstone	SEC	286.5	-3.6	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F12	F12
Henry1977	Freda sandstone	PRIM	279.9	2.4	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F13	F13
Henry1977	Freda sandstone	PRIM	281.2	10	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F13	F13
Henry1977	Freda sandstone	PRIM	280.8	-1.6	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F14	F14
Henry1977	Freda sandstone	PRIM	281.3	5.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F14	F14
Henry1977	Freda sandstone	SEC	284.4	-8.6	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F14	F14
Henry1977	Freda sandstone	SEC	283.3	-1.7	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F14	F14
Henry1977	Freda sandstone	PRIM	282.9	3.6	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F15	F15
Henry1977	Freda sandstone	PRIM	284.4	10.4	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F15	F15
Henry1977	Freda sandstone	SEC	284	-8.9	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F15	F15
Henry1977	Freda sandstone	SEC	282.9	-1.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F15	F15
Henry1977	Freda sandstone	PRIM	289.5	-19.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F25	F25
Henry1977	Freda sandstone	PRIM	286.6	-9.4	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F25	F25
Henry1977	Freda sandstone	PRIM	290.2	-16.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F26	F26
Henry1977	Freda sandstone	PRIM	287.9	-6.6	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F26	F26
Henry1977	Freda sandstone	PRIM	281	-21.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F27	F27
Henry1977	Freda sandstone	PRIM	280.6	-9.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F27	F27
Henry1977	Freda sandstone	PRIM	294	-18.9	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F28	F28
Henry1977	Freda sandstone	PRIM	290.9	-10	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F28	F28
Henry1977	Freda sandstone	PRIM	277.9	-7.3	1	p	n	0	u	DE-BFL:LP-DIR-T	g	18A	18A
Henry1977	Freda sandstone	PRIM	277.5	3.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	18A	18A
Henry1977	Freda sandstone	PRIM	266.9	-8.8	1	p	n	0	u	DE-BFL:LP-DIR-T	g	18B	18B
Henry1977	Freda sandstone	PRIM	266.4	4.1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	18B	18B
