tab 	samples			
height	sample	site	bed_dip_direction	bed_dip
-17	NS4	2	134	17
-17	NS5	2	134	17
-17	NS6	2	134	17
9	NS7	3	130	18
9	NS9	3	130	18
21	NS10	4	125	14.8
21	NS11	4	125	14.8
21	NS12	4	125	14.8
21	NS13	4	125	14.8
52	NS14	5	120	14.5
52	NS15	5	120	14.5
52	NS16	5	120	14.5
52	NS17	5	120	14.5
84	NS18	6	137	18.5
84	NS19	6	137	18.5
84	NS20	6	137	18.5
-47	NS21	7	122	19
-47	NS23	7	122	19
-47	NS24	7	122	19
-47	NS25	7	122	19
-65	NS26	8	115	19.7
-65	NS27	8	115	19.7
-65	NS28	8	115	19.7
-65	NS29	8	115	19.7
-81	NS30	9	131	18.7
-81	NS31	9	131	18.7
-81	NS32	9	131	18.7
-81	NS33	9	131	18.7
-122	NS35	10	121	19.3
-138	NS37	11	116	19.3
-138	NS38	11	116	19.3
486	F1	12	43	16.9
486	F2	12	43	16.9
486	F4	12	43	16.9
515	13X	13	43	13.2
515	13Y	13	43	13.2
515	F16	13	43	13.2
515	F17	13	43	13.2
535	14V	14	44	13.2
535	14X	14	44	13.2
535	14Y	14	44	13.2
535	F10	14	44	13.2
535	F5	14	44	13.2
535	F6	14	44	13.2
535	F7	14	44	13.2
535	F8	14	44	13.2
535	F9	14	44	13.2
557	15X	15	43	13.2
557	15Y	15	43	13.2
557	F18	15	43	13.2
557	F19	15	43	13.2
557	F20	15	43	13.2
557	F21	15	43	13.2
557	F22	15	43	13.2
557	F23	15	43	13.2
557	F24	15	43	13.2
612	16X	16	43	14
612	16Z	16	43	14
612	F11	16	43	14
612	F12	16	43	14
612	F13	16	43	14
612	F14	16	43	14
612	F15	16	43	14
667	F25	17	53	14.8
667	F26	17	53	14.8
667	F27	17	53	14.8
667	F28	17	53	14.8
407	18A	18	46	17
407	18B	18	46	17
407	18W	18	46	17
407	18X	18	46	17
407	18Y	18	46	17
407	18Z	18	46	17
271	19A	19	45	12.5
271	19B	19	45	12.5
271	19C	19	45	12.5
271	19D	19	45	12.5
579	20A	20	45	14
579	20B	20	45	14
579	20C	20	45	14
579	20D	20	45	14
594	21A	21	39	12.5
594	21B	21	39	12.5
594	21C	21	39	12.5
594	21D	21	39	12.5
645	22A	22	52	13.4
645	22B	22	52	13.4
628	23A	23	20	8
628	23B	23	20	8
615	24A	24	46	17.5
615	24B	24	46	17.5
615	24C	24	46	17.5
615	24D	24	46	17.5
-183	30B	30	15	18.7
-167	31C	31	1	20.3
-137	32A	32	354	18.5
-137	32B	32	354	18.5
-137	32C	32	354	18.5
-137	32D	32	354	18.5
-100	33A	33	1	18.5
-100	33B	33	1	18.5
-100	33C	33	1	18.5
-100	33D	33	1	18.5
28	34A	34	339	10
28	34B	34	339	10
28	34C	34	339	10
28	34D	34	339	10
28	34X	34	339	10
28	34Y	34	339	10
28	34Z	34	339	10
73	35A	35	316	8
73	35B	35	316	8
73	35C	35	316	8
15	2a	40	15	13.5
15	2b	40	15	13.5
15	2c	40	15	13.5
15	2d	40	15	13.5
-200	3a	41	17	15.5
-200	3b	41	17	15.5
-200	3c	41	17	15.5
-200	3d	41	17	15.5
