tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	weight	location	site
PF18-100a		PF18-100																	This study			0.01349	Potato River Falls	PF18-100
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		mt	271.1	7.1	1	5	100	11.8	2.1	863	823	K		hargrave 2021-06-08 10:17:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-100
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		mt	217.8	52.5	1	5	0	11.8	2.1	863	823	K		hargrave 2021-06-08 10:17:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-100
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		mt	299.0	61.2	1	5	-1	11.8	2.1	863	823	K		hargrave 2021-06-08 10:17:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-100
PF18-101a		PF18-101																	This study			0.012029999999999999	Potato River Falls	PF18-101
PF18-101a	PF18-101a_LP-DIR-T	PF18-101		mt	222.7	35.1	1	6	-1	1.7	8.3	853	793	K		hargrave 2021-06-08 10:18:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-101
PF18-101a	PF18-101a_LP-DIR-T	PF18-101		mt	224.0	45.9	1	6	0	1.7	8.3	853	793	K		hargrave 2021-06-08 10:18:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-101
PF18-101a	PF18-101a_LP-DIR-T	PF18-101		mt	265.0	2.3	1	6	100	1.7	8.3	853	793	K		hargrave 2021-06-08 10:18:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-101
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		mt	203.1	53.9	2	5	0	11.7	9.0	863	823	K		hargrave 2021-06-08 10:20:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-102
PF18-102a		PF18-102																	This study			0.012	Potato River Falls	PF18-102
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		hdt	283.0	62.8	2	16	-1	0.0	11.4	965	913	K		hargrave 2021-06-08 10:20:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-102
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		mt	272.3	75.9	2	5	-1	11.7	9.0	863	823	K		hargrave 2021-06-08 10:20:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-102
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		hdt	189.7	43.6	2	16	0	0.0	11.4	965	913	K		hargrave 2021-06-08 10:20:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-102
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		hdt	264.0	26.6	2	16	100	0.0	11.4	965	913	K		hargrave 2021-06-08 10:20:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-102
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		mt	272.8	15.8	2	5	100	11.7	9.0	863	823	K		hargrave 2021-06-08 10:20:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-102
PF18-103a	PF18-103a_LP-DIR-T	PF18-103		mht	288.1	-15.7	2	16	100	10.1	3.8	883	598	K		hargrave 2021-06-08 10:22:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-103
PF18-103a	PF18-103a_LP-DIR-T	PF18-103		lt	319.9	-0.6	2	3	100	16.1	0.6	473	373	K		hargrave 2021-06-08 10:22:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-103
PF18-103a	PF18-103a_LP-DIR-T	PF18-103		mht	268.0	58.5	2	16	0	10.1	3.8	883	598	K		hargrave 2021-06-08 10:22:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-103
PF18-103a	PF18-103a_LP-DIR-T	PF18-103		lt	0.9	75.9	2	3	0	16.1	0.6	473	373	K		hargrave 2021-06-08 10:22:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-103
PF18-103a		PF18-103																	This study			0.0139	Potato River Falls	PF18-103
PF18-103a	PF18-103a_LP-DIR-T	PF18-103		lt	154.8	58.6	2	3	-1	16.1	0.6	473	373	K		hargrave 2021-06-08 10:22:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-103
PF18-103a	PF18-103a_LP-DIR-T	PF18-103		mht	58.9	77.1	2	16	-1	10.1	3.8	883	598	K		hargrave 2021-06-08 10:22:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-103
PF18-104a	PF18-104a_LP-DIR-T	PF18-104		hdt	207.4	43.5	2	16	0	0.0	10.6	965	913	K		hargrave 2021-06-08 10:23:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-104
PF18-104a	PF18-104a_LP-DIR-T	PF18-104		hdt	261.8	13.9	2	16	100	0.0	10.6	965	913	K		hargrave 2021-06-08 10:23:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-104
PF18-104a	PF18-104a_LP-DIR-T	PF18-104		lt	317.4	0.2	2	3	100	23.1	0.5	473	373	K		hargrave 2021-06-08 10:23:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-104
PF18-104a		PF18-104																	This study			0.013269999999999999	Potato River Falls	PF18-104
PF18-104a	PF18-104a_LP-DIR-T	PF18-104		lt	356.1	78.4	2	3	0	23.1	0.5	473	373	K		hargrave 2021-06-08 10:23:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-104
PF18-104a	PF18-104a_LP-DIR-T	PF18-104		lt	168.8	52.1	2	3	-1	23.1	0.5	473	373	K		hargrave 2021-06-08 10:23:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-104
PF18-104a	PF18-104a_LP-DIR-T	PF18-104		hdt	348.2	71.2	2	16	-1	0.0	10.6	965	913	K		hargrave 2021-06-08 10:23:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-104
PF18-105a		PF18-105																	This study			0.009770000000000001	Potato River Falls	PF18-105
PF18-105a	PF18-105a_LP-DIR-T	PF18-105		lt	320.3	-3.0	3	3	100	17.0	0.2	473	373	K		hargrave 2021-06-08 10:25:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-105
