tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	weight	location	site
PF18-105a	PF18-105a_LP-DIR-T	PF18-105		hdt	264.0	10.5	3	14	100	0.0	17.6	965	933	K		hargrave 2021-06-08 10:25:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-105
PF18-105a	PF18-105a_LP-DIR-T	PF18-105		mht	263.6	56.0	3	15	0	10.8	5.2	893	648	K		hargrave 2021-06-08 10:25:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-105
PF18-105a	PF18-105a_LP-DIR-T	PF18-105		mht	284.5	-15.8	3	15	100	10.8	5.2	893	648	K		hargrave 2021-06-08 10:25:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-105
PF18-105a	PF18-105a_LP-DIR-T	PF18-105		hdt	212.1	45.6	3	14	0	0.0	17.6	965	933	K		hargrave 2021-06-08 10:25:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-105
PF18-105a	PF18-105a_LP-DIR-T	PF18-105		mht	342.9	68.6	3	15	-1	10.8	5.2	893	648	K		hargrave 2021-06-08 10:25:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-105
PF18-105a	PF18-105a_LP-DIR-T	PF18-105		lt	122.4	71.3	3	3	-1	17.0	0.2	473	373	K		hargrave 2021-06-08 10:25:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-105
PF18-105a	PF18-105a_LP-DIR-T	PF18-105		hdt	284.0	50.3	3	14	-1	0.0	17.6	965	933	K		hargrave 2021-06-08 10:25:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-105
PF18-105a	PF18-105a_LP-DIR-T	PF18-105		lt	355.1	74.1	3	3	0	17.0	0.2	473	373	K		hargrave 2021-06-08 10:25:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-105
PF18-106a	PF18-106a_LP-DIR-T	PF18-106		lt	141.2	56.1	2	3	-1	17.7	0.5	473	373	K		hargrave 2021-06-08 10:27:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-106
PF18-106a	PF18-106a_LP-DIR-T	PF18-106		mht	39.8	75.1	2	15	-1	9.6	4.6	893	648	K		hargrave 2021-06-08 10:27:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-106
PF18-106a	PF18-106a_LP-DIR-T	PF18-106		lt	358.3	68.8	2	3	0	17.7	0.5	473	373	K		hargrave 2021-06-08 10:27:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-106
PF18-106a	PF18-106a_LP-DIR-T	PF18-106		mht	270.4	55.3	2	15	0	9.6	4.6	893	648	K		hargrave 2021-06-08 10:27:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-106
PF18-106a	PF18-106a_LP-DIR-T	PF18-106		lt	324.9	-5.8	2	3	100	17.7	0.5	473	373	K		hargrave 2021-06-08 10:27:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-106
PF18-106a	PF18-106a_LP-DIR-T	PF18-106		mht	286.9	-19.0	2	15	100	9.6	4.6	893	648	K		hargrave 2021-06-08 10:27:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-106
PF18-106a		PF18-106																	This study			0.01411	Potato River Falls	PF18-106
PF18-107a	PF18-107a_LP-DIR-T	PF18-107		hdt	317.8	60.2	2	16	-1	0.0	9.5	965	913	K		hargrave 2021-06-08 10:28:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-107
PF18-107a	PF18-107a_LP-DIR-T	PF18-107		lt	159.3	52.6	2	3	-1	25.5	1.2	473	373	K		hargrave 2021-06-08 10:28:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-107
PF18-107a	PF18-107a_LP-DIR-T	PF18-107		lt	332.5	76.8	2	3	0	25.5	1.2	473	373	K		hargrave 2021-06-08 10:28:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-107
PF18-107a	PF18-107a_LP-DIR-T	PF18-107		hdt	251.9	21.1	2	16	100	0.0	9.5	965	913	K		hargrave 2021-06-08 10:28:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-107
PF18-107a		PF18-107																	This study			0.01231	Potato River Falls	PF18-107
PF18-107a	PF18-107a_LP-DIR-T	PF18-107		hdt	198.9	33.7	2	16	0	0.0	9.5	965	913	K		hargrave 2021-06-08 10:28:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-107
PF18-107a	PF18-107a_LP-DIR-T	PF18-107		lt	314.2	-4.0	2	3	100	25.5	1.2	473	373	K		hargrave 2021-06-08 10:28:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-107
PF18-108a	PF18-108a_LP-DIR-T	PF18-108		mt	191.2	31.4	2	3	0	14.6	3.8	863	843	K		hargrave 2021-06-08 10:30:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-108
PF18-108a	PF18-108a_LP-DIR-T	PF18-108		hdt	250.2	14.9	2	14	100	0.0	6.7	965	933	K		hargrave 2021-06-08 10:30:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-108
PF18-108a	PF18-108a_LP-DIR-T	PF18-108		mt	250.2	27.8	2	3	100	14.6	3.8	863	843	K		hargrave 2021-06-08 10:30:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-108
PF18-108a	PF18-108a_LP-DIR-T	PF18-108		hdt	335.2	64.8	2	14	-1	0.0	6.7	965	933	K		hargrave 2021-06-08 10:30:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-108
PF18-108a		PF18-108																	This study			0.010579999999999999	Potato River Falls	PF18-108
PF18-108a	PF18-108a_LP-DIR-T	PF18-108		hdt	206.4	32.3	2	14	0	0.0	6.7	965	933	K		hargrave 2021-06-08 10:30:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-108
PF18-108a	PF18-108a_LP-DIR-T	PF18-108		mt	310.7	58.8	2	3	-1	14.6	3.8	863	843	K		hargrave 2021-06-08 10:30:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-108
PF18-109a	PF18-109a_LP-DIR-T	PF18-109		hdt	286.2	63.1	2	14	-1	0.0	4.3	965	933	K		hargrave 2021-06-08 10:32:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-109
PF18-109a	PF18-109a_LP-DIR-T	PF18-109		lt	162.6	36.3	2	3	-1	29.1	0.1	473	373	K		hargrave 2021-06-08 10:32:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-109
PF18-109a	PF18-109a_LP-DIR-T	PF18-109		hdt	190.0	36.1	2	14	0	0.0	4.3	965	933	K		hargrave 2021-06-08 10:32:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-109
PF18-109a	PF18-109a_LP-DIR-T	PF18-109		lt	351.1	72.1	2	3	0	29.1	0.1	473	373	K		hargrave 2021-06-08 10:32:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-109
PF18-109a	PF18-109a_LP-DIR-T	PF18-109		hdt	255.7	28.0	2	14	100	0.0	4.3	965	933	K		hargrave 2021-06-08 10:32:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-109
PF18-109a	PF18-109a_LP-DIR-T	PF18-109		lt	320.9	-5.3	2	3	100	29.1	0.1	473	373	K		hargrave 2021-06-08 10:32:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-109
PF18-109a		PF18-109																	This study			0.01319	Potato River Falls	PF18-109
PF18-10a		PF18-10																	This study			0.013880000000000002	Potato River Falls	PF18-10
PF18-10a	PF18-10a_LP-DIR-T	PF18-10		hdt	277.4	16.2	3	13	100	0.0	1.5	968	941	K		hargrave 2021-06-10 13:38:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-10
PF18-10a	PF18-10a_LP-DIR-T	PF18-10		mt	280.1	16.0	3	12	100	1.8	7.1	863	623	K		hargrave 2021-06-10 13:38:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-10
PF18-10a	PF18-10a_LP-DIR-T	PF18-10		hdt	205.2	55.9	3	13	0	0.0	1.5	968	941	K		hargrave 2021-06-10 13:38:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-10
PF18-10a	PF18-10a_LP-DIR-T	PF18-10		lt	196.6	58.0	3	4	-1	29.5	4.4	473	323	K		hargrave 2021-06-10 13:38:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-10
PF18-10a	PF18-10a_LP-DIR-T	PF18-10		hdt	162.3	25.4	3	13	-1	0.0	1.5	968	941	K		hargrave 2021-06-10 13:38:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-10
PF18-10a	PF18-10a_LP-DIR-T	PF18-10		mt	162.9	27.9	3	12	-1	1.8	7.1	863	623	K		hargrave 2021-06-10 13:38:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-10
PF18-10a	PF18-10a_LP-DIR-T	PF18-10		lt	338.2	81.0	3	4	0	29.5	4.4	473	323	K		hargrave 2021-06-10 13:38:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-10
PF18-10a	PF18-10a_LP-DIR-T	PF18-10		mt	204.8	58.5	3	12	0	1.8	7.1	863	623	K		hargrave 2021-06-10 13:38:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-10
PF18-10a	PF18-10a_LP-DIR-T	PF18-10		lt	315.5	0.6	3	4	100	29.5	4.4	473	323	K		hargrave 2021-06-10 13:38:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-10
PF18-110a	PF18-110a_LP-DIR-T	PF18-110		lt	318.2	3.1	2	3	100	18.8	0.7	473	373	K		hargrave 2021-06-08 10:36:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-110
PF18-110a		PF18-110																	This study			0.012490000000000001	Potato River Falls	PF18-110
PF18-110a	PF18-110a_LP-DIR-T	PF18-110		mht	256.2	57.1	2	16	0	8.4	4.2	903	648	K		hargrave 2021-06-08 10:36:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-110
PF18-110a	PF18-110a_LP-DIR-T	PF18-110		lt	11.1	79.5	2	3	0	18.8	0.7	473	373	K		hargrave 2021-06-08 10:36:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-110
PF18-110a	PF18-110a_LP-DIR-T	PF18-110		mht	78.9	71.2	2	16	-1	8.4	4.2	903	648	K		hargrave 2021-06-08 10:36:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-110
PF18-110a	PF18-110a_LP-DIR-T	PF18-110		lt	170.6	56.5	2	3	-1	18.8	0.7	473	373	K		hargrave 2021-06-08 10:36:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-110
PF18-110a	PF18-110a_LP-DIR-T	PF18-110		mht	282.7	-12.0	2	16	100	8.4	4.2	903	648	K		hargrave 2021-06-08 10:36:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-110
PF18-111a	PF18-111a_LP-DIR-T	PF18-111		hdt	345.6	64.9	2	14	-1	0.0	18.0	965	933	K		hargrave 2021-06-08 10:37:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-111
PF18-111a	PF18-111a_LP-DIR-T	PF18-111		mt	37.7	77.6	2	6	-1	6.4	7.2	863	808	K		hargrave 2021-06-08 10:37:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-111
PF18-111a	PF18-111a_LP-DIR-T	PF18-111		mt	217.5	50.5	2	6	0	6.4	7.2	863	808	K		hargrave 2021-06-08 10:37:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-111
PF18-111a	PF18-111a_LP-DIR-T	PF18-111		hdt	254.8	21.5	2	14	100	0.0	18.0	965	933	K		hargrave 2021-06-08 10:37:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-111
PF18-111a	PF18-111a_LP-DIR-T	PF18-111		hdt	198.1	36.3	2	14	0	0.0	18.0	965	933	K		hargrave 2021-06-08 10:37:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-111
PF18-111a	PF18-111a_LP-DIR-T	PF18-111		mt	269.1	7.1	2	6	100	6.4	7.2	863	808	K		hargrave 2021-06-08 10:37:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-111
PF18-111a		PF18-111																	This study			0.00966	Potato River Falls	PF18-111
PF18-112a	PF18-112a_LP-DIR-T	PF18-112		lt	8.8	75.9	2	3	0	16.9	1.6	473	373	K		hargrave 2021-06-08 10:39:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-112
PF18-112a		PF18-112																	This study			0.013569999999999999	Potato River Falls	PF18-112
PF18-112a	PF18-112a_LP-DIR-T	PF18-112		lt	172.3	42.8	2	3	-1	16.9	1.6	473	373	K		hargrave 2021-06-08 10:39:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-112
PF18-112a	PF18-112a_LP-DIR-T	PF18-112		mht	116.1	61.0	2	15	-1	1.8	5.2	893	648	K		hargrave 2021-06-08 10:39:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-112
PF18-112a	PF18-112a_LP-DIR-T	PF18-112		mht	287.0	-16.0	2	15	100	1.8	5.2	893	648	K		hargrave 2021-06-08 10:39:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-112
PF18-112a	PF18-112a_LP-DIR-T	PF18-112		mht	267.0	57.6	2	15	0	1.8	5.2	893	648	K		hargrave 2021-06-08 10:39:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-112
PF18-112a	PF18-112a_LP-DIR-T	PF18-112		lt	321.1	0.9	2	3	100	16.9	1.6	473	373	K		hargrave 2021-06-08 10:39:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-112
PF18-113a	PF18-113a_LP-DIR-T	PF18-113		hdt	201.0	40.6	2	16	0	0.0	7.4	965	913	K		hargrave 2021-06-08 10:41:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-113
PF18-113a	PF18-113a_LP-DIR-T	PF18-113		hdt	329.8	70.9	2	16	-1	0.0	7.4	965	913	K		hargrave 2021-06-08 10:41:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-113
PF18-113a	PF18-113a_LP-DIR-T	PF18-113		lt	164.9	48.2	2	3	-1	31.3	1.5	473	373	K		hargrave 2021-06-08 10:41:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-113
PF18-113a	PF18-113a_LP-DIR-T	PF18-113		lt	344.5	76.7	2	3	0	31.3	1.5	473	373	K		hargrave 2021-06-08 10:41:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-113
PF18-113a		PF18-113																	This study			0.01006	Potato River Falls	PF18-113
PF18-113a	PF18-113a_LP-DIR-T	PF18-113		lt	316.6	-2.8	2	3	100	31.3	1.5	473	373	K		hargrave 2021-06-08 10:41:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-113
